City Name,News_Source,Country,Coordinates
Texas,AA,"Texas, United States","(31.2638905, -98.5456116)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
